Headline,Sentiment
Agilent misses Street 2Q forecasts,negative
Agilent Technologies (A) Stock Down in After-Hours Trading on Lower Guidance,negative
Agilent Technologies (A) Stock Earnings Estimates Lowered at Leerink,negative
Aluminum Glut Dents Alcoa's Prospects,negative
Alcoa 2Q profit falls short of estimates,negative
Alcoa Profit Misses Estimates,negative
"Alcoa earnings hurt by low aluminum prices, higher global surplus seen",negative
Alcoa earnings: 19 cents per share vs. 22 cents EPS estimate,negative
Alcoa misses 2Q profit forecasts,negative
Alcoa (AA) Stock Declines After Analyst Lowers Price Target,negative
Apple faces U.S. class-action lawsuit by employees over bag searches,negative
Apple must face class action lawsuit over bag searches,negative
Apple Falls Out of Favor With Investors,negative
Apple's selloff is a rare time to buy: Technician,negative
Apple (AAPL) Stock Falls With Declining Tablet Shipments,negative
Apple's stock officially enters correction territory as it crosses below key technical level,negative
"Apple experiences gravity, falls on growth concerns",negative
Apple just denied this huge rumor,negative
Apple shares slump: 4 factors behind the fall,negative
Apple sinks under key level; Allstate tumbles on results,negative
Apple slump deepens,negative
Apple Gets a Downgrade For These 6 Reasons,negative
Apple loses over $100 billion in market value,negative
Apple stock downgraded at Bank of America,negative
Apple's share correction wipes out more value than the Croatian economy,negative
Apple stock target lowered on China exposure,negative
Apple is falling again,negative
Apple iPhone Faces Tough Battle to Regain Top Spot in China,negative
"Apple at $105.98, Down 9% for the Week, Moves to Bear Territory",negative
Apple confirms iPhone 6 Plus camera glitch,negative
Apple leads decline in Dow Jones Industrial Average,negative
Apple recalls some iPhone 6 Plus models over blurry photos,negative
Apple Trades Below Moving Averages,negative
Apple stock flashes alarming signal,negative
Apple loses key music streaming executive,negative
Citigroup Still Says Sell AbbVie,negative
AbbVie reports 4Q loss,negative
Elliott Associates may sue AbbVie over scuttled deal,negative
AbbVie (ABBV) Stock Sliding Following Second Quarter Earnings Results,negative
AbbVie (ABBV) Stock Sliding on Earnings Miss,negative
AbbVie reports first revenue miss in six quarters,negative
AbbVie's Revenue Growth Misses Expectations,negative
AbbVie's revenue miss raises concerns over Humira sales,negative
AbbVie's stock drops after sales miss expectations,negative
AmerisourceBergen reports 1Q loss,negative
Abbott Laboratories (ABT) Plunges: Stock Falls by 7.3%,negative
Accenture downgraded by Robert W. Baird,negative
"Accenture forecast disappoints, shares slip",negative
Accenture misses 4Q profit forecasts,negative
Accenture trims profit forecast as margins come under pressure,negative
"Adobe adds fewer-than-expected Creative Cloud subscribers, shares fall",negative
Adobe Systems (ADBE) Falls: Stock Goes Down 5.8%,negative
Analog Devices downgraded by Drexel Hamilton,negative
Analog Devices downgraded by Nomura,negative
"7:19 am Automatic Data misses by $0.04, misses on revs; guides FY16 EPS below consensus, revs in-line",negative
"Automatic Data Processing Lags on Q4 Earnings, Revenues - Analyst Blog",negative
"Automatic Data Processing, Inc. -- Moody's Downgrades Automatic Data Processing to Aa3; Affirms Prime-1, Stable Outlook",negative
Moody's downgrades ADP credit rating after company announces $2 billion debt deal,negative
Autodesk (ADSK) Stock Dropping on Negative Analyst Note,negative
Autodesk downgraded by Wedbush,negative
Autodesk (ADSK) Stock Falls in After-Hours Trading on Full Year Guidance,negative
"Autodesk Halted, Drops 7%: FYQ3 Outlook Misses by a Mile on Subscription Shift",negative
Autodesk Halted: FYQ3 Outlook Misses by a Mile on Subscription Shift,negative
Autodesk reports 2Q loss,negative
Autodesk (ADSK) Stock Price Target Lowered at Canaccord Genuity,negative
"Autodesk (ADSK) Lags on Q2 Earnings & Sales, Shares Fall",negative
ADT 3Q profit drops 27 percent,negative
ADT misses 2Q profit forecasts,negative
ADT Misses on Q3 Earnings Despite Higher Revenues - Analyst Blog,negative
ADT Misses on Q3 Earnings Estimates - Tale of the Tape,negative
ADT misses 3Q profit forecasts,negative
Ameren misses 3Q profit forecasts,negative
Judge to rule against Ameren in power line case,negative
"8:02 am Ameren misses by $0.03, misses on revs; guides FY15 EPS in-line",negative
Ameren (AEE) Earnings and Revenues Miss Estimates in Q2 - Analyst Blog,negative
Ameren Corporation (AEE) Lags Q2 Earnings and Revenues - Tale of the Tape,negative
Ameren misses 2Q profit forecasts,negative
American Electric Power (AEP) Stock Price Target Cut at Credit Suisse,negative
AES misses 1Q profit forecasts,negative
"6:08 am AES misses by $0.01, misses on revs; reaffirms FY15 EPS guidance",negative
AES Corp. (AES) Lags Q2 Earnings and Revenue Estimates - Analyst Blog,negative
AES misses 2Q profit forecasts,negative
"AES Corp Hit by Poor Hydrology in Brazil, Generation in Focus",negative
Aetna (AET) Stock Down as Humana Deal Termination Fees Revealed,negative
A.M. Best Places Ratings of Aetna Inc. and Its Subsidiaries Under Review with Negative Implications,negative
AFLAC Suffers Again From the Strong Dollar,negative
AFLAC downgraded by BofA/Merrill,negative
Allergan downgraded by RBC Capital Mkts,negative
Allergan Brought Into Widening U.S. Probe of Generic Drug Prices,negative
Allergan Swings to Loss on Deals-Related Charges,negative
